Customer_ID,Booking_Date,Pickup_Location,Destination,No_of_Days,Distance_km,Season,Car_Name,Total_Amount,Total_Cost,Total_Profit,Mode_of_Payment,Additional_Costs,Day_of_Week,Customer_Segment,Seasonal_Demand,Destination_Popularity
1,1/1/2024,Udaipur,Bangalore,6,1800,Winter,Artica,34200,12600,21600,Online,436,Monday,Mid-Spender,Peak,Low
2,1/2/2024,Jaipur,Odisha,7,2100,Winter,Innova,48300,16800,31500,Online,306,Tuesday,High-Spender,Peak,High
3,1/3/2024,Shimla,Agra,4,2248,Winter,Shift Dizire,35968,13488,22480,Card,61,Wednesday,Mid-Spender,Peak,Low
4,1/4/2024,Bangalore,Pune,7,2476,Winter,Carence,54472,19808,34664,Cash,113,Thursday,High-Spender,Peak,Low
5,1/5/2024,Pune,Odisha,4,1200,Winter,Aura,19200,7200,12000,Online,345,Friday,Budget-Spender,Peak,High
6,1/6/2024,Pune,Rishikesh,3,2375,Winter,Aura,38000,14250,23750,Card,318,Saturday,Mid-Spender,Peak,High
7,1/7/2024,Goa,Varanasi,5,1500,Winter,Crista,40500,15000,25500,Cash,220,Sunday,High-Spender,Peak,Medium
8,1/8/2024,Shimla,Manali,7,2100,Winter,Artica,39900,14700,25200,Online,465,Monday,Mid-Spender,Peak,Low
9,1/9/2024,Delhi,Bangalore,2,2150,Winter,Toyota Rumion,45150,17200,27950,Cash,255,Tuesday,High-Spender,Peak,Low
10,1/10/2024,Udaipur,Delhi,1,1656,Winter,Crista,44712,16560,28152,Online,59,Wednesday,High-Spender,Peak,High
11,1/11/2024,Shimla,Goa,1,724,Winter,Innova,16652,5792,10860,Card,265,Thursday,Budget-Spender,Peak,High
12,1/12/2024,Agra,Delhi,1,1192,Winter,Etios,19072,7152,11920,Card,57,Friday,Budget-Spender,Peak,High
13,1/13/2024,Rishikesh,Agra,7,2100,Winter,Artica,39900,14700,25200,Online,359,Saturday,Mid-Spender,Peak,Low
14,1/14/2024,Mumbai,Delhi,3,1765,Winter,Etios,28240,10590,17650,Cash,244,Sunday,Mid-Spender,Peak,High
15,1/15/2024,Udaipur,Kolkata,4,1798,Winter,Tata Zest,28768,10788,17980,Online,71,Monday,Mid-Spender,Peak,Low
16,1/16/2024,Kolkata,Manali,7,2100,Winter,Carence,46200,16800,29400,Cash,57,Tuesday,High-Spender,Peak,Low
17,1/17/2024,Varanasi,Odisha,4,1200,Winter,Tata Zest,19200,7200,12000,Cash,371,Wednesday,Budget-Spender,Peak,High
18,1/18/2024,Mumbai,Varanasi,3,2465,Winter,Shift Dizire,39440,14790,24650,Card,229,Thursday,Mid-Spender,Peak,Medium
19,1/19/2024,Goa,Hyderabad,2,2198,Winter,Etios,35168,13188,21980,Cash,291,Friday,Mid-Spender,Peak,Medium
20,1/20/2024,Udaipur,Shimla,7,2115,Winter,Innova,48645,16920,31725,Online,148,Saturday,High-Spender,Peak,Medium
21,1/21/2024,Rishikesh,Agra,4,1200,Winter,Innova,27600,9600,18000,Card,200,Sunday,Mid-Spender,Peak,Low
22,1/22/2024,Delhi,Rishikesh,4,2496,Winter,Artica,47424,17472,29952,Card,182,Monday,High-Spender,Peak,High
23,1/23/2024,Jaipur,Agra,3,917,Winter,Carence,20174,7336,12838,Cash,468,Tuesday,Budget-Spender,Peak,Low
24,1/24/2024,Varanasi,Manali,4,2365,Winter,Artica,44935,16555,28380,Online,169,Wednesday,High-Spender,Peak,Low
25,1/25/2024,Mumbai,Bangalore,1,1959,Winter,Aura,31344,11754,19590,Cash,203,Thursday,Mid-Spender,Peak,Low
26,1/26/2024,Jaipur,Udaipur,7,2100,Winter,Shift Dizire,33600,12600,21000,Online,289,Friday,Mid-Spender,Peak,Medium
27,1/27/2024,Jaipur,Mumbai,4,1200,Winter,Etios,19200,7200,12000,Online,387,Saturday,Budget-Spender,Peak,Medium
28,1/28/2024,Kolkata,Agra,1,2130,Winter,Tata Zest,34080,12780,21300,Card,355,Sunday,Mid-Spender,Peak,Low
29,1/29/2024,Rishikesh,Pune,1,1519,Winter,Artica,28861,10633,18228,Cash,408,Monday,Mid-Spender,Peak,Low
30,1/30/2024,Kolkata,Varanasi,7,2100,Winter,Artica,39900,14700,25200,Card,89,Tuesday,Mid-Spender,Peak,Medium
31,1/31/2024,Varanasi,Odisha,1,2460,Winter,Tata Zest,39360,14760,24600,Online,157,Wednesday,Mid-Spender,Peak,High
32,2/1/2024,Varanasi,Rishikesh,4,1210,Winter,Crista,32670,12100,20570,Online,422,Thursday,Mid-Spender,Off-Peak,High
33,2/2/2024,Varanasi,Goa,7,2100,Winter,Carence,46200,16800,29400,Online,129,Friday,High-Spender,Off-Peak,High
34,2/3/2024,Varanasi,Jaipur,7,2100,Winter,Tata Zest,33600,12600,21000,Card,235,Saturday,Mid-Spender,Off-Peak,High
35,2/4/2024,Mumbai,Varanasi,2,2026,Winter,Aura,32416,12156,20260,Online,56,Sunday,Mid-Spender,Off-Peak,Medium
36,2/5/2024,Jaipur,Udaipur,4,1891,Winter,Tata Zest,30256,11346,18910,Online,174,Monday,Mid-Spender,Off-Peak,Medium
37,2/6/2024,Kolkata,Bangalore,5,2170,Winter,Tata Zest,34720,13020,21700,Online,405,Tuesday,Mid-Spender,Off-Peak,Low
38,2/7/2024,Jaipur,Hyderabad,3,900,Winter,Artica,17100,6300,10800,Card,398,Wednesday,Budget-Spender,Off-Peak,Medium
39,2/8/2024,Rishikesh,Chennai,3,1337,Winter,Etios,21392,8022,13370,Cash,292,Thursday,Budget-Spender,Off-Peak,Low
40,2/9/2024,Kolkata,Manali,3,1256,Winter,Artica,23864,8792,15072,Cash,480,Friday,Mid-Spender,Off-Peak,Low
41,2/10/2024,Rishikesh,Varanasi,4,1200,Winter,Toyota Rumion,25200,9600,15600,Online,108,Saturday,Mid-Spender,Off-Peak,Medium
42,2/11/2024,Shimla,Udaipur,1,1019,Winter,Shift Dizire,16304,6114,10190,Card,224,Sunday,Budget-Spender,Off-Peak,Medium
43,2/12/2024,Kolkata,Varanasi,7,2100,Winter,Toyota Rumion,44100,16800,27300,Card,77,Monday,High-Spender,Off-Peak,Medium
44,2/13/2024,Bangalore,Jaipur,4,2243,Winter,Crista,60561,22430,38131,Cash,272,Tuesday,High-Spender,Off-Peak,High
45,2/14/2024,Jaipur,Kolkata,4,1200,Winter,Innova,27600,9600,18000,Card,312,Wednesday,Mid-Spender,Off-Peak,Low
46,2/15/2024,Odisha,Bangalore,2,1258,Winter,Artica,23902,8806,15096,Cash,352,Thursday,Mid-Spender,Off-Peak,Low
47,2/16/2024,Delhi,Varanasi,1,2016,Winter,Etios,32256,12096,20160,Cash,80,Friday,Mid-Spender,Off-Peak,Medium
48,2/17/2024,Jaipur,Udaipur,4,1350,Winter,Carence,29700,10800,18900,Cash,377,Saturday,Mid-Spender,Off-Peak,Medium
49,2/18/2024,Pune,Hyderabad,6,1939,Winter,Shift Dizire,31024,11634,19390,Cash,121,Sunday,Mid-Spender,Off-Peak,Medium
50,2/19/2024,Varanasi,Agra,7,2100,Winter,Shift Dizire,33600,12600,21000,Online,82,Monday,Mid-Spender,Off-Peak,Low
51,2/20/2024,Shimla,Delhi,6,1800,Winter,Shift Dizire,28800,10800,18000,Cash,348,Tuesday,Mid-Spender,Off-Peak,High
52,2/21/2024,Rishikesh,Chennai,1,1710,Winter,Artica,32490,11970,20520,Card,384,Wednesday,Mid-Spender,Off-Peak,Low
53,2/22/2024,Goa,Hyderabad,3,1306,Winter,Carence,28732,10448,18284,Cash,422,Thursday,Mid-Spender,Off-Peak,Medium
54,2/23/2024,Agra,Rishikesh,3,946,Winter,Carence,20812,7568,13244,Online,257,Friday,Budget-Spender,Off-Peak,High
55,2/24/2024,Goa,Rishikesh,4,1200,Winter,Innova,27600,9600,18000,Online,288,Saturday,Mid-Spender,Off-Peak,High
56,2/25/2024,Kolkata,Mumbai,7,2100,Winter,Artica,39900,14700,25200,Online,498,Sunday,Mid-Spender,Off-Peak,Medium
57,2/26/2024,Goa,Jaipur,4,1200,Winter,Crista,32400,12000,20400,Online,143,Monday,Mid-Spender,Off-Peak,High
58,2/27/2024,Chennai,Mumbai,7,2100,Winter,Carence,46200,16800,29400,Card,242,Tuesday,High-Spender,Off-Peak,Medium
59,2/28/2024,Hyderabad,Rishikesh,1,1926,Winter,Shift Dizire,30816,11556,19260,Cash,146,Wednesday,Mid-Spender,Off-Peak,High
60,2/29/2024,Varanasi,Kolkata,2,600,Winter,Etios,9600,3600,6000,Card,234,Thursday,Budget-Spender,Off-Peak,Low
61,3/1/2024,Shimla,Pune,6,1800,Spring,Etios,28800,10800,18000,Cash,395,Friday,Mid-Spender,Off-Peak,Low
62,3/2/2024,Udaipur,Agra,1,2000,Spring,Innova,46000,16000,30000,Card,245,Saturday,High-Spender,Off-Peak,Low
63,3/3/2024,Kolkata,Jaipur,7,2100,Spring,Innova,48300,16800,31500,Cash,136,Sunday,High-Spender,Off-Peak,High
64,3/4/2024,Udaipur,Kolkata,2,977,Spring,Crista,26379,9770,16609,Online,151,Monday,Mid-Spender,Off-Peak,Low
